	Plot	Row Numbers	Filter Type	Genotype	ExG	RGB	NGR	GLI	VARI	MGR	VEG
180701_djifc6310_J1_SE_row_12_range_5_rep_1.tif	180701_djifc6310_J1_SE_row_12_range_5	4123 and 4124	ExG 135	check2	0.4262534214	0.4326693409	0.2482955731	0.2439621438	0.3882827747	0.4340063332	1.821965811
180701_djifc6310_J1_SE_row_12_range_5_rep_1.tif	180701_djifc6310_J1_SE_row_12_range_5	4123 and 4124	ExG 136	check2	0.4293012369	0.4335669	0.2487146897	0.244320749	0.3890757097	0.4350869271	1.824527884
180701_djifc6310_J1_SE_row_12_range_5_rep_1.tif	180701_djifc6310_J1_SE_row_12_range_5	4123 and 4124	ExG 137	check2	0.4323423633	0.4344841552	0.2491615367	0.2446963432	0.389902449	0.4362155634	1.827022606
180701_djifc6310_J1_SE_row_12_range_5_rep_1.tif	180701_djifc6310_J1_SE_row_12_range_5	4123 and 4124	ExG 138	check2	0.436384909	0.4351024645	0.2493384598	0.2448718281	0.3903551209	0.4369737265	1.828289962
180701_djifc6310_J1_SE_row_12_range_5_rep_1.tif	180701_djifc6310_J1_SE_row_12_range_5	4123 and 4124	ExG 139	check2	0.4398362065	0.4358212689	0.2496387581	0.2450764729	0.3910836627	0.4379306528	1.830067566
180701_djifc6310_J1_SE_row_12_range_5_rep_1.tif	180701_djifc6310_J1_SE_row_12_range_5	4123 and 4124	ExG 140	check2	0.4445713466	0.4364784217	0.2497555791	0.2452150459	0.39150913	0.4386749572	1.830854195
180701_djifc6310_J1_SE_row_12_range_5_rep_1.tif	180701_djifc6310_J1_SE_row_12_range_5	4123 and 4124	Otsu pre	check2	0.4902398587	0.4369520193	0.2449856993	0.2423220302	0.3861861488	0.4377564176	1.803380941
180701_djifc6310_J1_SE_row_12_range_5_rep_1.tif	180701_djifc6310_J1_SE_row_12_range_5	4123 and 4124	Otsu post	check2	0.488727123	0.4366745458	0.2449917424	0.2422161973	0.3862587057	0.437596849	1.804237695
180701_djifc6310_J1_SE_row_12_range_5_rep_1.tif	180701_djifc6310_J1_SE_row_12_range_5	4123 and 4124	Custom	check2	0.4378857919	0.4262252581	0.2439689519	0.2397954161	0.3822484217	0.4281380205	1.809159165
180701_djifc6310_J1_SE_row_12_range_5_rep_2.tif	180701_djifc6310_J1_SE_row_12_range_5	4123 and 4124	ExG 135	check2	0.4041591338	0.4308533073	0.2425074191	0.2454672063	0.3709091965	0.4223681086	1.801315041
180701_djifc6310_J1_SE_row_12_range_5_rep_2.tif	180701_djifc6310_J1_SE_row_12_range_5	4123 and 4124	ExG 136	check2	0.4075658631	0.4314090785	0.2426481714	0.2455094448	0.3714553043	0.4231782625	1.803699193
180701_djifc6310_J1_SE_row_12_range_5_rep_2.tif	180701_djifc6310_J1_SE_row_12_range_5	4123 and 4124	ExG 137	check2	0.4114394613	0.4318812838	0.2427355108	0.2455358634	0.3718596621	0.4238784281	1.805620236
180701_djifc6310_J1_SE_row_12_range_5_rep_2.tif	180701_djifc6310_J1_SE_row_12_range_5	4123 and 4124	ExG 138	check2	0.41665065	0.4321794937	0.2424463269	0.245392906	0.3717004052	0.4241152956	1.805914626
180701_djifc6310_J1_SE_row_12_range_5_rep_2.tif	180701_djifc6310_J1_SE_row_12_range_5	4123 and 4124	ExG 139	check2	0.420929968	0.4325796875	0.2422197775	0.2452616527	0.3716733078	0.4245141256	1.80647898
180701_djifc6310_J1_SE_row_12_range_5_rep_2.tif	180701_djifc6310_J1_SE_row_12_range_5	4123 and 4124	ExG 140	check2	0.426278748	0.4331314466	0.2418616651	0.245209025	0.3713144253	0.4247843613	1.806140439
180701_djifc6310_J1_SE_row_12_range_5_rep_2.tif	180701_djifc6310_J1_SE_row_12_range_5	4123 and 4124	Otsu pre	check2	0.4636232347	0.4339492213	0.2357889949	0.2426932882	0.362534462	0.4215346855	1.781397748
180701_djifc6310_J1_SE_row_12_range_5_rep_2.tif	180701_djifc6310_J1_SE_row_12_range_5	4123 and 4124	Otsu post	check2	0.4599286291	0.4341122229	0.2366643865	0.2431257058	0.3638965744	0.4222160086	1.785178922
180701_djifc6310_J1_SE_row_12_range_5_rep_2.tif	180701_djifc6310_J1_SE_row_12_range_5	4123 and 4124	Custom	check2	0.4183015497	0.4208525815	0.2351524259	0.2388993237	0.3603522525	0.4122492379	1.779779534
180701_djifc6310_J1_SE_row_12_range_5_rep_3.tif	180701_djifc6310_J1_SE_row_12_range_5	4123 and 4124	ExG 135	check2	0.3895565692	0.4544515737	0.2619371683	0.264910696	0.3903607791	0.4469214667	1.910467853
180701_djifc6310_J1_SE_row_12_range_5_rep_3.tif	180701_djifc6310_J1_SE_row_12_range_5	4123 and 4124	ExG 136	check2	0.3936859343	0.4555005394	0.262187395	0.2653080025	0.3907020854	0.4478856792	1.914343396
180701_djifc6310_J1_SE_row_12_range_5_rep_3.tif	180701_djifc6310_J1_SE_row_12_range_5	4123 and 4124	ExG 137	check2	0.39771248	0.4565823402	0.2624744153	0.2656901007	0.3912609863	0.4489353446	1.918342408
180701_djifc6310_J1_SE_row_12_range_5_rep_3.tif	180701_djifc6310_J1_SE_row_12_range_5	4123 and 4124	ExG 138	check2	0.4036121043	0.4576910418	0.2625121835	0.2660982754	0.3912762717	0.4496475817	1.9215418
180701_djifc6310_J1_SE_row_12_range_5_rep_3.tif	180701_djifc6310_J1_SE_row_12_range_5	4123 and 4124	ExG 139	check2	0.4082781774	0.4588191593	0.2626214232	0.266471963	0.3914792602	0.4505174965	1.92462303
180701_djifc6310_J1_SE_row_12_range_5_rep_3.tif	180701_djifc6310_J1_SE_row_12_range_5	4123 and 4124	ExG 140	check2	0.4141714826	0.4602959214	0.2626957225	0.267032739	0.3914757342	0.4514434381	1.927876829
180701_djifc6310_J1_SE_row_12_range_5_rep_3.tif	180701_djifc6310_J1_SE_row_12_range_5	4123 and 4124	Otsu pre	check2	0.4541930498	0.4637757948	0.2577756184	0.2662549071	0.3839589856	0.4496641033	1.914776605
180701_djifc6310_J1_SE_row_12_range_5_rep_3.tif	180701_djifc6310_J1_SE_row_12_range_5	4123 and 4124	Otsu post	check2	0.4521314102	0.4634414515	0.2579755047	0.2662703885	0.3842054215	0.4495715744	1.916305953
180701_djifc6310_J1_SE_row_12_range_5_rep_3.tif	180701_djifc6310_J1_SE_row_12_range_5	4123 and 4124	Custom	check2	0.4047405629	0.4440119505	0.2537171328	0.2583442702	0.377441154	0.4349474096	1.891737701
180701_djifc6310_J1_SE_row_12_range_5_rep_4.tif	180701_djifc6310_J1_SE_row_12_range_5	4123 and 4124	ExG 135	check2	0.3824686311	0.492212678	0.28967002	0.289708808	0.4336509802	0.4837332625	2.044443951
180701_djifc6310_J1_SE_row_12_range_5_rep_4.tif	180701_djifc6310_J1_SE_row_12_range_5	4123 and 4124	ExG 136	check2	0.3861303508	0.493283441	0.2901086335	0.2901140941	0.4344456905	0.4850005517	2.049175023
180701_djifc6310_J1_SE_row_12_range_5_rep_4.tif	180701_djifc6310_J1_SE_row_12_range_5	4123 and 4124	ExG 137	check2	0.3901164384	0.4942220739	0.2904980656	0.2904262158	0.4349999226	0.4862006513	2.05374327
180701_djifc6310_J1_SE_row_12_range_5_rep_4.tif	180701_djifc6310_J1_SE_row_12_range_5	4123 and 4124	ExG 138	check2	0.3960593372	0.4948423293	0.2904679533	0.2905281263	0.4351729809	0.4868027461	2.05699744
180701_djifc6310_J1_SE_row_12_range_5_rep_4.tif	180701_djifc6310_J1_SE_row_12_range_5	4123 and 4124	ExG 139	check2	0.401134881	0.4955911618	0.290536752	0.2906719019	0.4354289284	0.4875920178	2.061067357
180701_djifc6310_J1_SE_row_12_range_5_rep_4.tif	180701_djifc6310_J1_SE_row_12_range_5	4123 and 4124	ExG 140	check2	0.407392734	0.4963332728	0.2903852256	0.2907944745	0.4351866977	0.4881195311	2.064288048
180701_djifc6310_J1_SE_row_12_range_5_rep_4.tif	180701_djifc6310_J1_SE_row_12_range_5	4123 and 4124	Otsu pre	check2	0.45613476	0.501699408	0.2877244053	0.2913882102	0.4298898155	0.4900699959	2.072760808
180701_djifc6310_J1_SE_row_12_range_5_rep_4.tif	180701_djifc6310_J1_SE_row_12_range_5	4123 and 4124	Otsu post	check2	0.4555666549	0.5015845574	0.2877588939	0.2914037746	0.429931786	0.4899324944	2.071916044
180701_djifc6310_J1_SE_row_12_range_5_rep_4.tif	180701_djifc6310_J1_SE_row_12_range_5	4123 and 4124	Custom	check2	0.4002417495	0.4811605332	0.281977321	0.2829614624	0.4214006667	0.4726837371	2.029653997
180701_djifc6310_J1_SE_row_12_range_5_rep_5.tif	180701_djifc6310_J1_SE_row_12_range_5	4123 and 4124	ExG 135	check2	0.3971484461	0.5192995558	0.3155359747	0.3103158899	0.4675778927	0.5195629506	2.218087479
180701_djifc6310_J1_SE_row_12_range_5_rep_5.tif	180701_djifc6310_J1_SE_row_12_range_5	4123 and 4124	ExG 136	check2	0.4006028305	0.5220635769	0.3172331163	0.3118918554	0.4700901719	0.5225928275	2.227446944
180701_djifc6310_J1_SE_row_12_range_5_rep_5.tif	180701_djifc6310_J1_SE_row_12_range_5	4123 and 4124	ExG 137	check2	0.4043346522	0.5246809531	0.318901892	0.3133853902	0.4725160716	0.5255397174	2.236718228
180701_djifc6310_J1_SE_row_12_range_5_rep_5.tif	180701_djifc6310_J1_SE_row_12_range_5	4123 and 4124	ExG 138	check2	0.4091868569	0.5274588264	0.3205752005	0.3149558984	0.4749899164	0.5285582427	2.246492877
180701_djifc6310_J1_SE_row_12_range_5_rep_5.tif	180701_djifc6310_J1_SE_row_12_range_5	4123 and 4124	ExG 139	check2	0.4136082585	0.5298657944	0.3219712338	0.3162779495	0.4771206158	0.5311562063	2.255237252
180701_djifc6310_J1_SE_row_12_range_5_rep_5.tif	180701_djifc6310_J1_SE_row_12_range_5	4123 and 4124	ExG 140	check2	0.4196177021	0.5325436675	0.3233859269	0.3178013104	0.4789914144	0.5337881117	2.264862492
180701_djifc6310_J1_SE_row_12_range_5_rep_5.tif	180701_djifc6310_J1_SE_row_12_range_5	4123 and 4124	Otsu pre	check2	0.4968689493	0.559679162	0.3362267519	0.3333481768	0.4938193769	0.5575101517	2.360746796
180701_djifc6310_J1_SE_row_12_range_5_rep_5.tif	180701_djifc6310_J1_SE_row_12_range_5	4123 and 4124	Otsu post	check2	0.490162685	0.5572982085	0.3351493043	0.3320134955	0.492576249	0.5555213457	2.352525135
