Row,Filename,Plot,Row.Numbers,Filter.Type,Genotype.x,Image,Light.Value,Average.Saturation,Reference.Rep,Pixels.Remaining,Total,Percent.Cover,file,date,Pedigree,Genotype.y,Treatment,Rep
1017,190823_djifc6310_Aug23_NE_row_34_range_6_rep_3.tif,190823_djifc6310_Aug23_NE_row_34_range_6,1017 and 1018,ExG 131,Check,DJI_0329.JPG,12.31116539,32.29182286,1,295278,351307,84.0512714,data/CanopyCoverage/NE/Plot1_canopy_ref_sat_Aug23.csv,Aug23,Check,Check,Nitrogen,1
1017,190823_djifc6310_Aug23_NE_row_34_range_6_rep_3.tif,190823_djifc6310_Aug23_NE_row_34_range_6,1017 and 1018,Otsu pre,Check,DJI_0329.JPG,12.31116539,33.88547259,1,258217,351307,73.50180896,data/CanopyCoverage/NE/Plot1_canopy_ref_sat_Aug23.csv,Aug23,Check,Check,Nitrogen,1
1017,190823_djifc6310_Aug23_NE_row_34_range_6_rep_3.tif,190823_djifc6310_Aug23_NE_row_34_range_6,1017 and 1018,Otsu post,Check,DJI_0329.JPG,12.31116539,34.12459867,1,252032,351307,71.74124057,data/CanopyCoverage/NE/Plot1_canopy_ref_sat_Aug23.csv,Aug23,Check,Check,Nitrogen,1
1017,190812_djifc6310s_Aug12_NE_row_34_range_6_rep_3.tif,190812_djifc6310s_Aug12_NE_row_34_range_6,1017 and 1018,ExG 131,Check,DJI_0257.JPG,10.22904954,26.06744359,1,237227,284303,83.44160983,data/CanopyCoverage/NE/Plot1_canopy_ref_sat_Aug12.csv,Aug12,Check,Check,Nitrogen,1
1017,190812_djifc6310s_Aug12_NE_row_34_range_6_rep_3.tif,190812_djifc6310s_Aug12_NE_row_34_range_6,1017 and 1018,Otsu pre,Check,DJI_0257.JPG,10.22904954,27.52745625,1,202977,284303,71.39460364,data/CanopyCoverage/NE/Plot1_canopy_ref_sat_Aug12.csv,Aug12,Check,Check,Nitrogen,1
1017,190812_djifc6310s_Aug12_NE_row_34_range_6_rep_3.tif,190812_djifc6310s_Aug12_NE_row_34_range_6,1017 and 1018,Otsu post,Check,DJI_0257.JPG,10.22904954,27.49936171,1,203546,284303,71.59474223,data/CanopyCoverage/NE/Plot1_canopy_ref_sat_Aug12.csv,Aug12,Check,Check,Nitrogen,1
1017,190812_djifc6310s_Aug12_NE_row_34_range_6_rep_3.tif,190812_djifc6310s_Aug12_NE_row_34_range_6,1017 and 1018,Custom,Check,DJI_0257.JPG,10.22904954,26.08563673,1,232825,284303,81.89326177,data/CanopyCoverage/NE/Plot1_canopy_ref_sat_Aug12.csv,Aug12,Check,Check,Nitrogen,1
1017,190830_djifc6310s_Aug30_NE_row_34_range_6_rep_2.tif,190830_djifc6310s_Aug30_NE_row_34_range_6,1017 and 1018,Custom,Check,DJI_0064.JPG,11.61470984,24.54783821,1,287872,342465,84.05880893,data/CanopyCoverage/NE/Plot1_canopy_ref_sat_Aug30.csv,Aug30,Check,Check,Nitrogen,1
1017,190822_djifc6310s_Aug22_NE_row_34_range_6_rep_7.tif,190822_djifc6310s_Aug22_NE_row_34_range_6,1017 and 1018,ExG 131,Check,DJI_0666.JPG,11.61470984,24.43853293,1,307899,397147,77.52771644,data/CanopyCoverage/NE/Plot1_canopy_ref_sat_Aug22.csv,Aug22,Check,Check,Nitrogen,1
1017,190827_djifc6310_Aug26_NE_row_34_range_6_rep_2.tif,190827_djifc6310_Aug26_NE_row_34_range_6,1017 and 1018,Otsu pre,Check,DJI_0128.JPG,8,49.36244987,1,229659,426683,53.82426766,data/CanopyCoverage/NE/Plot1_canopy_ref_sat_Aug26.csv,Aug26,Check,Check,Nitrogen,1
1017,190827_djifc6310_Aug26_NE_row_34_range_6_rep_2.tif,190827_djifc6310_Aug26_NE_row_34_range_6,1017 and 1018,Otsu post,Check,DJI_0128.JPG,8,49.41204936,1,227776,426683,53.38295643,data/CanopyCoverage/NE/Plot1_canopy_ref_sat_Aug26.csv,Aug26,Check,Check,Nitrogen,1
1017,190827_djifc6310_Aug26_NE_row_34_range_6_rep_2.tif,190827_djifc6310_Aug26_NE_row_34_range_6,1017 and 1018,Custom,Check,DJI_0128.JPG,8,43.28623166,1,333456,426683,78.15075829,data/CanopyCoverage/NE/Plot1_canopy_ref_sat_Aug26.csv,Aug26,Check,Check,Nitrogen,1
1017,190814_djifc6310s_Aug14_NE_row_34_range_6_rep_3.tif,190814_djifc6310s_Aug14_NE_row_34_range_6,1017 and 1018,ExG 131,Check,DJI_0221.JPG,12.97756614,24.94277958,1,176216,246225,71.56706265,data/CanopyCoverage/NE/Plot1_canopy_ref_sat_Aug14.csv,Aug14,Check,Check,Nitrogen,1
1017,190814_djifc6310s_Aug14_NE_row_34_range_6_rep_3.tif,190814_djifc6310s_Aug14_NE_row_34_range_6,1017 and 1018,Otsu pre,Check,DJI_0221.JPG,12.97756614,25.61835686,1,154141,246225,62.60168545,data/CanopyCoverage/NE/Plot1_canopy_ref_sat_Aug14.csv,Aug14,Check,Check,Nitrogen,1
