date,pval
July 6,9.57655124738758e-11
Aug 12,7.86235773728406e-32
Aug 14,0.000448235343683113
Aug 16,1.8701387632265e-06
Aug 20,2.54832930131689e-05
Aug 22,5.36074892004281e-41
Aug 23,1.32073887662757e-33
Aug 26,7.41904886693636e-05
Aug 30,2.03585968361796e-34
Sept 1,1.23442089495545e-20
Sept 3,7.07718914354346e-19
Sept 5,0.0597083559675119
