trait,pval,cor,type,date
Weight.of.20.seeds,0.305029650032249,-0.0699482126370092,ExG,July 6
Weight.of.20.seeds,0.207320123588817,-0.0859380359980055,ExG2,July 6
Weight.of.20.seeds,0.133804964635036,-0.102100267387296,RGB,July 6
Weight.of.20.seeds,0.303970519099425,-0.0701011979698858,NGR,July 6
Weight.of.20.seeds,0.178311709595034,-0.0917075135671288,GLI,July 6
Weight.of.20.seeds,0.272135480061833,-0.0748755879878769,MGR,July 6
Weight.of.20.seeds,0.345091139469129,-0.0643987154330039,VARI,July 6
Weight.of.20.seeds,0.67421614870617,-0.0286963481815928,VEG,July 6
Weight.of.20.seeds,0.0418925619184042,-0.138251240838585,Woebbecke..no.abs.,July 6
Weight.of.20.seeds,0.154065444890744,0.0970888805872096,Woebbecke..abs.,July 6
cob.length,0.291724196900564,0.0507239666641591,ExG,July 6
cob.length,0.142393383461487,0.0705308913626592,ExG2,July 6
cob.length,0.254482885932646,0.0548160631892545,RGB,July 6
cob.length,0.143236530483091,0.0703825896496249,NGR,July 6
cob.length,0.170522252043499,0.0659059625382338,GLI,July 6
cob.length,0.183028326145716,0.0640325586021768,MGR,July 6
cob.length,0.208274944781423,0.0605206031005597,VARI,July 6
cob.length,0.319907124295687,0.0478553245144453,VEG,July 6
cob.length,0.880488281576146,-0.00723782285748797,Woebbecke..no.abs.,July 6
cob.length,0.335330863638305,-0.0463550319370966,Woebbecke..abs.,July 6
cob.weight,0.355095095366407,0.0471341069689626,ExG,July 6
cob.weight,0.641087288373425,0.0237707613463281,ExG2,July 6
cob.weight,0.739475918696506,0.0169579764945963,RGB,July 6
cob.weight,0.393739807580751,0.043473175221648,NGR,July 6
cob.weight,0.651070776624148,0.0230619803968954,GLI,July 6
cob.weight,0.408413770638003,0.0421405721593402,MGR,July 6
cob.weight,0.381777425779408,0.0445818428876714,VARI,July 6
cob.weight,0.309775623014715,0.0517633981776141,VEG,July 6
cob.weight,0.828495215114202,-0.0110474188476507,Woebbecke..no.abs.,July 6
cob.weight,0.60309937656855,-0.0265115875639522,Woebbecke..abs.,July 6
cob.diameter,0.440329978446769,0.0393365295706472,ExG,July 6
cob.diameter,0.655100176102098,-0.0227771723538216,ExG2,July 6
cob.diameter,0.549730957520946,-0.0304979312398019,RGB,July 6
cob.diameter,0.954877077566669,0.00288562301900399,NGR,July 6
cob.diameter,0.632315501511813,-0.0243973120950278,GLI,July 6
cob.diameter,0.954742324611279,0.00289424971466473,MGR,July 6
