Aug12	NE	djifc6310s	190812	173024	0.004166	7.965	4.64	500	Autoexposure	Autowhitebalance	Normal	DJI_0272.JPG	40.85243	-96.610409	701424.345541	4525123.98453	0.314539	9.683247	1953	85	1	3	8	0
Aug12	NE	djifc6310s	190812	172933	0.004166	7.965	4.64	500	Autoexposure	Autowhitebalance	Normal	DJI_0248.JPG	40.852485	-96.61039	701425.758637	4525130.131481	0.439658	19.432303	2595	168	1	4	1	0
Aug12	NE	djifc6310s	190812	172935	0.004166	7.965	4.64	500	Autoexposure	Autowhitebalance	Normal	DJI_0249.JPG	40.852485	-96.61039	701425.758637	4525130.131481	0.225614	19.386023	1675	168	1	4	2	0
Aug12	NE	djifc6310s	190812	172937	0.004166	7.965	4.64	500	Autoexposure	Autowhitebalance	Normal	DJI_0250.JPG	40.852485	-96.61039	701425.758637	4525130.131481	0	19.316603	1224	168	1	4	3	0
Aug12	NE	djifc6310s	190812	173018	0.004166	7.965	4.64	500	Autoexposure	Autowhitebalance	Normal	DJI_0269.JPG	40.852485	-96.61039	701425.758637	4525130.131481	-0.190904	18.957935	1469	168	1	4	4	0
Aug12	NE	djifc6310s	190812	173020	0.004166	7.965	4.64	500	Autoexposure	Autowhitebalance	Normal	DJI_0270.JPG	40.852485	-96.61039	701425.758637	4525130.131481	0	19.01	354	168	1	4	5	1
Aug12	NE	djifc6310s	190812	173022	0.004166	7.965	4.64	500	Autoexposure	Autowhitebalance	Normal	DJI_0271.JPG	40.852485	-96.61039	701425.758637	4525130.131481	0.237184	19.073635	778	168	1	4	6	0
Aug12	NE	djifc6310s	190812	173024	0.004166	7.965	4.64	500	Autoexposure	Autowhitebalance	Normal	DJI_0272.JPG	40.852485	-96.61039	701425.758637	4525130.131481	0.393378	19.119914	1893	168	1	4	7	0
Aug12	NE	djifc6310s	190812	173112	0.004166	7.965	4.64	500	Autoexposure	Autowhitebalance	Normal	DJI_0295.JPG	40.852485	-96.61039	701425.758637	4525130.131481	-0.248754	18.645547	2561	168	1	4	8	0
Aug12	NE	djifc6310s	190812	173016	0.004166	7.965	4.64	500	Autoexposure	Autowhitebalance	Normal	DJI_0268.JPG	40.852538	-96.610372	701427.137913	4525136.008884	-0.515937	24.885021	2466	169	1	5	1	0
Aug12	NE	djifc6310s	190812	173018	0.004166	7.965	4.64	500	Autoexposure	Autowhitebalance	Normal	DJI_0269.JPG	40.852538	-96.610372	701427.137913	4525136.008884	-0.261399	24.971795	1449	169	1	5	2	0
